"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","STINT","TOT","PC_PA","A","1980",5.7704,
"CHE","STINT","TOT","PC_PA","A","1981",9.095266,
"CHE","STINT","TOT","PC_PA","A","1982",5.057867,
"CHE","STINT","TOT","PC_PA","A","1983",4.091717,
"CHE","STINT","TOT","PC_PA","A","1984",4.349216,
"CHE","STINT","TOT","PC_PA","A","1985",4.9235,
"CHE","STINT","TOT","PC_PA","A","1986",4.218242,
"CHE","STINT","TOT","PC_PA","A","1987",3.774625,
"CHE","STINT","TOT","PC_PA","A","1988",3.079867,
"CHE","STINT","TOT","PC_PA","A","1989",7.317708,"B"
"CHE","STINT","TOT","PC_PA","A","1990",8.917969,
"CHE","STINT","TOT","PC_PA","A","1991",8.213542,
"CHE","STINT","TOT","PC_PA","A","1992",7.854167,
"CHE","STINT","TOT","PC_PA","A","1993",4.90625,
"CHE","STINT","TOT","PC_PA","A","1994",4.188804,
"CHE","STINT","TOT","PC_PA","A","1995",2.947918,
"CHE","STINT","TOT","PC_PA","A","1996",2.019532,
"CHE","STINT","TOT","PC_PA","A","1997",1.638022,
"CHE","STINT","TOT","PC_PA","A","1998",1.549193,
"CHE","STINT","TOT","PC_PA","A","1999",1.409028,
"CHE","STINT","TOT","PC_PA","A","2000",3.173334,
"CHE","STINT","TOT","PC_PA","A","2001",2.862638,
"CHE","STINT","TOT","PC_PA","A","2002",1.128472,
"CHE","STINT","TOT","PC_PA","A","2003",0.3291675,
"CHE","STINT","TOT","PC_PA","A","2004",0.4848617,
"CHE","STINT","TOT","PC_PA","A","2005",0.8097216,
"CHE","STINT","TOT","PC_PA","A","2006",1.557153,
"CHE","STINT","TOT","PC_PA","A","2007",2.572431,
"CHE","STINT","TOT","PC_PA","A","2008",2.483472,
"CHE","STINT","TOT","PC_PA","A","2009",0.3625133,
"CHE","STINT","TOT","PC_PA","A","2010",0.1864583,
"CHE","STINT","TOT","PC_PA","A","2011",0.1171525,
"CHE","STINT","TOT","PC_PA","A","2012",0.06557,
"CHE","STINT","TOT","PC_PA","A","2013",0.01966667,
"CHE","STINT","TOT","PC_PA","A","2014",0.007833334,
"CHE","STINT","TOT","PC_PA","A","2015",-0.78375,
"CHE","STINT","TOT","PC_PA","A","2016",-0.7481167,
"CHE","STINT","TOT","PC_PA","A","2017",-0.7314,
